customer name,customer e-mail,country,gender,age,annual Salary,credit card debt,net worth,car purchase amount
Martina Avila,cubilia.Curae.Phasellus@quisaccumsanconvallis.edu,Bulgaria,0,41.8517198,62812.09301,11609.38091,238961.2505,35321.45877
Harlan Barnes,eu.dolor@diam.co.uk,Belize,0,40.87062335,66646.89292,9572.957136,530973.9078,45115.52566
Naomi Rodriquez,vulputate.mauris.sagittis@ametconsectetueradipiscing.co.uk,Algeria,1,0,53798.55112,11160.35506,638467.1773,42925.70921
Jade Cunningham,malesuada@dignissim.com,Cook Islands,1,58.27136945,79370.03798,14426.16485,548599.0524,
Cedric Leach,felis.ullamcorper.viverra@egetmollislectus.net,Brazil,1,57.31374945,59729.1513,5358.712177,560304.0671,55915.46248
Carla Hester,mi@Aliquamerat.edu,Liberia,1,56.82489312,68499.85162,14179.47244,428485.3604,56611.99784
Griffin Rivera,vehicula@at.co.uk,Syria,1,,39814.522,5958.460188,326373.1812,28925.70549
Orli Casey,nunc.est.mollis@Suspendissetristiqueneque.co.uk,Czech Republic,1,50.19301623,51752.23445,,629312.4041,47434.98265
Marny Obrien,Phasellus@sedsemegestas.org,Armenia,0,46.58474463,58139.2591,3440.823799,630059.0274,48013.6141
Rhonda Chavez,nec@nuncest.com,Somalia,1,43.32378156,,12884.07868,476643.3544,38189.50601
Jerome Rowe,ipsum.cursus@dui.org,Sint Maarten,1,,73348.70745,8270.707359,612738.6171,59045.51309
Akeem Gibson,turpis.egestas.Fusce@purus.edu,Greenland,1,53.18015845,55421.65733,,293862.5123,42288.81046
Quin Smith,nulla@ipsum.edu,Nicaragua,0,44.3964937,37336.3383,10218.32092,430907.1673,28700.0334
Tatum Moon,Cras.sed.leo@Seddiamlorem.ca,"Palestine, State of",0,48.49651504,0,9466.995128,420322.0702,49258.87571
Sharon Sharpe,eget.metus@aaliquetvel.co.uk,United Arab Emirates,0,55.24486604,72776.00382,10597.63814,146344.8965,49510.03356
Thomas Williams,aliquet.molestie@ut.org,Gabon,1,53.28976788,64662.30061,11326.03434,481433.4324,53017.26723
Blaine Bender,ultrices.posuere.cubilia@pedenonummyut.net,Tokelau,0,44.74219952,63259.87837,,370356.2223,41814.72067
Stephen Lindsey,erat.eget.ipsum@tinciduntpede.org,Portugal,1,48.12708462,52682.06401,12514.52029,549443.5886,43901.71244
Sloane Mann,at.augue@augue.net,Chad,1,51.85347374,54503.14423,7377.820914,431098.9998,44633.99241
Athena Wolf,volutpat.Nulla.facilisis@primis.ca,Iraq,0,58.74184223,0,13272.94647,,54827.52403
Blythe Romero,Sed.eu@risusNuncac.co.uk,Sudan,1,51.90047138,63435.86304,11878.03779,480588.2345,51130.95379
Zelenia Byers,auctor.non@sapien.co.uk,Angola,0,,64347.34531,10905.36628,307226.0977,43402.31525
Nola Wiggins,Aliquam@augue.edu,Nigeria,1,45.53184183,65176.69055,7698.552234,497526.4566,47240.86004
Micah Wheeler,arcu.eu@tincidunt.org,Madagascar,1,47.02228427,52027.63837,,688466.0503,46635.49432
Caryn Hendrix,condimentum.Donec@duiCum.com,Macedonia,0,39.94299532,69612.0123,8125.598993,499086.3442,45078.40193
Hedda Miranda,scelerisque@magnased.com,Oman,0,52.57744084,,17805.57607,429440.3297,
Ulric Lynn,sociis@vulputateveliteu.com,Colombia,0,28.0096755,82842.53385,13102.15805,315775.3207,37161.55393
Alma Pope,Nunc.mauris.Morbi@turpis.org,Namibia,0,55.63031699,61388.62709,14270.00731,341691.9337,49091.97185
Gemma Hendrix,lobortis@non.co.uk,Denmark,1,46.12403587,100000,,188032.0778,58350.31809
Castor Wood,velit.Pellentesque@Nulla.net,Dominican Republic,1,40.24532734,62891.86556,12522.94052,583230.976,43994.35972
Herman Stevenson,sociosqu.ad.litora@erat.com,Costa Rica,1,,39627.1248,9371.511071,319837.6593,17584.56963
Adrienne Bolton,dictum@magnaPraesent.ca,Botswana,1,40.38546326,68859.56489,13417.02027,486069.073,44650.36073
Dahlia Cleveland,tincidunt.tempus@idsapien.co.uk,Saint Pierre and Miquelon,1,51.31671367,82358.22683,8092.475103,655934.4666,66363.89316
Keane Browning,Curabitur@acipsumPhasellus.co.uk,France,0,51.4805088,67904.39895,11417.30952,487435.964,53489.46214
Quon Hull,nascetur.ridiculus.mus@dignissim.co.uk,Senegal,0,46.31841716,65311.68225,7988.753685,215673.5384,39810.34817
Coby Charles,nec@dolornonummyac.com,Cambodia,0,50.50341115,59593.2624,12252.73058,,51612.14311
Amery Cortez,semper.et.lacinia@Morbiquisurna.ca,Suriname,1,49.85387098,47460.54809,7405.534271,430624.8142,38978.67458
Uriel Bradshaw,ultrices@Integersemelit.com,Turkey,1,22.00038672,43131.78411,10917.14094,326742.7352,10092.22509
Fredericka Sanders,Curabitur@Infaucibus.ca,Ethiopia,0,50.51602163,52263.69806,8838.759509,213040.9606,35928.52404
Christopher Stevens,blandit.enim@lacusvariuset.org,French Guiana,1,48.04729589,80959.5331,4499.921096,379749.9152,54823.19221
Rachel Ashley,tincidunt.tempus.risus@posuerecubiliaCurae.co.uk,Turkey,0,42.44978638,66417.66597,,513340.0097,45805.67186
Lael Wright,a@consequatpurusMaecenas.com,Bhutan,1,46.26908486,58457.41492,12491.01273,410655.9947,41567.47033
Ryder Shaffer,Phasellus.dapibus.quam@inhendrerit.ca,Georgia,0,37.58459582,50571.45969,13338.32852,348833.8403,28031.20985
Eric Noel,lacinia.at.iaculis@Fuscefermentumfermentum.edu,Mozambique,1,38.7730024,50943.16256,10816.8855,299734.1278,0
Tamara Guy,nec.eleifend@orci.org,Nauru,1,61.22413159,79792.13096,14245.53319,,68678.4352
Quincy Bell,in@Duisgravida.co.uk,Timor-Leste,0,55.27514264,70787.27764,10155.34095,853913.8532,68925.09447
Lee Taylor,Vivamus.nisi.Mauris@miAliquam.co.uk,Djibouti,1,42.22589031,56098.50773,11675.28496,320228.6451,34215.7615
Kenneth Pope,vitae.sodales.at@molestiearcuSed.org,Argentina,0,51.16813904,57478.37922,2230.096344,158979.7102,37843.46619
Reese Vance,egestas@malesuadavelvenenatis.com,Taiwan,1,41.44430677,60181.40633,7094.896557,390312.1715,37883.24231
Quon Carroll,sodales@pharetra.com,Åland Islands,0,40.08331711,74445.08168,7915.758178,527420.7269,
Magee Davidson,Quisque@tempor.net,Turks and Caicos Islands,1,41.1638484,38406.7789,11023.00268,451846.1995,27187.23914
Leilani Gross,dignissim@mollisDuissit.org,Samoa,0,55.78242299,64616.6881,12378.54089,779925.7892,63738.39065
Morgan William,sociis.natoque.penatibus@uterat.ca,Vanuatu,0,46.23366001,68107.93144,7813.602657,455609.1429,48266.75516
